,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Hermanus,-34.4187,19.2345,54.81,86,1,6.29,ZA,1661145301
1,Chumikan,54.7183,135.315,57.47,73,100,15.12,RU,1661111179
2,Begūn,24.9833,75.0,73.53,94,81,7.4,IN,1661128616
3,Avarua,-21.2078,-159.775,75.25,88,100,14.97,CK,1661101057
4,Nadym,65.5333,72.5167,49.75,84,100,2.8,RU,1661123626
5,Esperance,-33.8667,121.9,52.75,65,100,23.0,AU,1661120643
6,Hobart,-42.8794,147.3294,51.66,89,75,8.05,AU,1661115269
7,Taoudenni,22.6783,-3.9836,101.88,16,68,5.73,ML,1661061300
8,Mahibadhoo,3.7833,72.9667,81.88,76,52,14.38,MV,1661130284
9,Bluff,-46.6,168.3333,48.79,60,53,12.12,NZ,1661110597
10,Tiksi,71.6872,128.8694,40.62,92,100,16.55,RU,1661106890
11,Saldanha,-33.0117,17.9442,44.65,86,0,12.12,ZA,1661145512
12,Rikitea,-23.1203,-134.9692,70.79,70,99,17.83,PF,1661095218
13,Arraial do Cabo,-22.9661,-42.0278,66.06,68,0,3.44,BR,1661072916
14,Lüderitz,-26.6481,15.1594,59.9,54,0,8.86,NA,1661145767
15,Yaransk,57.3033,47.8861,58.93,72,16,5.17,RU,1661131720
16,Maningrida,-12.0667,134.2667,71.15,69,10,11.36,AU,1661116382
17,Provideniya,64.3833,-173.3,46.51,87,0,8.95,RU,1661183142
18,Alekseyevskaya,50.2896,42.1845,69.82,34,98,8.86,RU,1661134227
19,Punta Arenas,-53.15,-70.9167,42.91,81,0,5.75,CL,1661082444
20,Butaritari,3.0707,172.7902,81.14,78,11,13.78,KI,1661106365
21,Port Alfred,-33.5906,26.891,54.97,72,0,3.38,ZA,1661143407
22,Bethel,41.3712,-73.414,81.05,66,75,1.01,US,1661076538
23,Mamlyutka,54.9375,68.5394,52.61,62,89,4.41,KZ,1661127189
24,Pundaguitan,6.3711,126.1689,82.92,75,100,10.96,PH,1661117383
25,Letnyaya Stavka,45.4306,43.4472,71.1,43,17,19.15,RU,1661134516
26,Fortuna,40.5982,-124.1573,71.92,78,20,12.66,US,1661088799
27,Yangambi,0.8102,24.4336,72.48,86,89,0.6,CD,1661142080
28,Emerald,-23.5333,148.1667,58.33,72,40,4.61,AU,1661113679
29,Thyolo,-16.0678,35.1405,57.31,84,36,9.06,MW,1661140374
30,Nikolskoye,59.7035,30.7861,66.79,59,62,4.76,RU,1661135325
31,Strezhevoy,60.7333,77.5889,40.48,90,30,5.57,RU,1661123830
32,Cape Town,-33.9258,18.4232,53.11,84,0,2.3,ZA,1661145461
33,‘Ewa Beach,21.3156,-158.0072,87.75,49,20,17.27,US,1661098358
34,Torbay,47.6666,-52.7314,61.75,85,100,5.75,CA,1661070882
35,São João da Barra,-21.6403,-41.0511,66.6,70,98,11.3,BR,1661072604
36,Puerto Ayora,-0.7393,-90.3518,71.56,95,82,5.01,EC,1661083317
37,Upata,8.0086,-62.3989,72.19,99,98,3.94,VE,1661076156
38,Bredasdorp,-34.5322,20.0403,47.62,94,0,5.26,ZA,1661145116
39,Tasiilaq,65.6145,-37.6368,37.74,93,100,5.12,GL,1661063495
40,Viseu,40.661,-7.9097,62.85,91,38,1.12,PT,1661060874
41,Castro,-24.7911,-50.0119,49.8,95,71,4.9,BR,1661074940
42,Mataura,-46.1927,168.8643,48.47,83,98,1.88,NZ,1661110427
43,Barrow,71.2906,-156.7887,35.62,80,100,13.8,US,1661089271
44,Yerofey Pavlovich,53.9667,121.9667,51.21,89,8,2.86,RU,1661114512
45,Westport,41.1415,-73.3579,80.94,68,0,6.91,US,1661076547
46,Busselton,-33.65,115.3333,48.11,70,32,9.35,AU,1661122202
47,Olafsvik,64.8945,-23.7142,47.12,62,88,9.42,IS,1661060406
48,Albany,42.6001,-73.9662,83.52,51,100,1.99,US,1661076548
49,Dalmatovo,56.26,62.9362,56.34,70,60,4.59,RU,1661128301
50,Bambous Virieux,-20.3428,57.7575,67.21,88,40,2.3,MU,1661135182
51,Caluquembe,-13.7833,14.6833,59.49,33,3,4.54,AO,1661058795
52,Kavaratti,10.5669,72.642,80.69,80,61,15.39,IN,1661130010
53,Bartica,6.4,-58.6167,77.32,89,96,3.76,GY,1661075333
54,Tuktoyaktuk,69.4541,-133.0374,42.8,75,100,11.5,CA,1661084708
55,Roquetas de Mar,36.7642,-2.6148,73.4,61,33,9.01,ES,1661146403
56,Ushuaia,-54.8,-68.3,38.86,87,100,27.63,AR,1661082057
57,Rocha,-34.4833,-54.3333,43.74,83,24,0.69,UY,1661076620
58,Vao,-22.6667,167.4833,70.66,84,85,17.18,NC,1661108995
59,Hamilton,39.1834,-84.5333,79.95,79,75,8.05,US,1661079414
60,Iqaluit,63.7506,-68.5145,49.73,81,100,5.75,CA,1661071560
61,Yangi Marg`ilon,40.4272,71.7189,63.32,36,10,2.3,UZ,1661128231
62,Vardø,70.3705,31.1107,62.58,72,72,16.11,NO,1661131329
63,Saint-Augustin,51.226,-58.6502,70.54,70,31,15.39,CA,1661071829
64,Klaksvík,62.2266,-6.589,45.52,75,98,18.9,FO,1661057122
65,Derzhavīnsk,51.1,66.3167,53.6,91,10,8.28,KZ,1661128317
66,Brae,60.3964,-1.353,51.6,80,11,14.79,GB,1661056343
67,New Norfolk,-42.7826,147.0587,51.3,88,100,4.21,AU,1661115325
68,Airai,-8.9266,125.4092,58.51,73,64,4.85,TL,1661118344
69,Campo Verde,-20.4167,-54.0667,66.02,76,23,7.45,BR,1661075655
70,Ossora,59.2353,163.0719,54.52,94,100,7.0,RU,1661103630
71,Azul,-36.777,-59.8585,50.34,86,19,9.08,AR,1661078117
72,Atuona,-9.8,-139.0333,76.48,68,68,16.15,PF,1661095463
73,Jamestown,42.097,-79.2353,72.52,74,75,5.75,US,1661077864
74,Eganville,45.5334,-77.0994,73.51,85,98,0.2,CA,1661076987
75,Ewo,-0.8725,14.8206,76.3,76,27,3.76,CG,1661058087
76,Esna,25.2934,32.554,89.62,18,0,4.74,EG,1661138787
77,Faya,18.3851,42.4509,64.51,79,100,6.98,SA,1661136827
78,Beloha,-25.1667,45.05,59.05,68,0,5.75,MG,1661138509
79,Bathsheba,13.2167,-59.5167,83.01,78,40,10.36,BB,1661075183
80,Cayenne,4.9333,-52.3333,73.44,94,75,0.0,GF,1661073902
81,Fort Nelson,58.8053,-122.7002,78.39,41,20,3.44,CA,1661085882
82,Ponta Delgada,37.7333,-25.6667,72.32,78,75,4.61,PT,1661065406
83,Ponta do Sol,32.6667,-17.1,77.63,60,92,5.35,PT,1661063762
84,Hare Bay,48.8499,-54.0148,72.75,83,40,5.23,CA,1661071040
85,Kavieng,-2.5744,150.7967,82.44,74,82,11.52,PG,1661111930
86,Chifeng,42.2683,118.9636,71.69,59,100,10.49,CN,1661116708
87,Bloemfontein,-29.1211,26.214,35.08,60,0,2.3,ZA,1661143270
88,Lamu,-2.2717,40.902,75.42,77,5,17.13,KE,1661138284
89,Uyuni,-20.4597,-66.825,41.94,17,0,3.96,BO,1661078718
90,Beian,63.6559,9.5683,54.01,93,75,3.44,NO,1661139388
91,Miandrivazo,-19.5167,45.4667,69.75,80,2,2.59,MG,1661138084
92,Béboto,8.2668,16.939,67.23,96,100,3.87,TD,1661057101
93,Muroto-misakicho,33.2833,134.15,82.87,81,1,9.46,JP,1661113839
94,Kolpny,52.2282,37.0368,70.61,31,98,13.22,RU,1661135189
95,Kapaa,22.0752,-159.319,85.48,60,3,4.0,US,1661098626
96,Vila Velha,-20.3297,-40.2925,67.95,77,0,13.8,BR,1661072346
97,Longyearbyen,78.2186,15.6401,40.84,81,0,3.44,SJ,0
98,Mahébourg,-20.4081,57.7,67.24,88,40,2.3,MU,1661135199
99,Charleston,32.7766,-79.9309,84.02,83,40,12.66,US,1661078840
100,Katobu,-4.9408,122.5276,75.85,80,29,6.96,ID,1661118833
101,Smithers,54.7804,-127.1743,84.52,30,20,2.3,CA,1661087736
102,Ilebo,-4.3167,20.5833,74.79,79,76,2.35,CD,1661143262
103,Gannan,47.9147,123.5031,54.93,97,100,9.22,CN,1661114996
104,New Iberia,30.0035,-91.8187,89.98,55,0,9.22,US,1661081899
105,Okhotsk,59.3833,143.3,55.54,91,100,8.08,RU,1661108350
106,George Town,5.4112,100.3354,80.53,88,20,6.91,MY,1661123632
107,Altay,47.8667,88.1167,46.06,32,22,4.09,CN,1661123503
108,Port Elizabeth,-33.918,25.5701,47.1,93,0,3.44,ZA,1661143746
109,Sergeevka,53.88,67.4158,48.97,73,100,5.5,KZ,1661127634
110,Kargasok,59.0556,80.8572,41.76,87,72,7.14,RU,1661123433
111,Vaini,-21.2,-175.2,75.36,88,20,8.05,TO,1661191109
112,Cidreira,-30.1811,-50.2056,55.92,88,0,6.15,BR,1661075329
113,Mnogovershinnyy,53.9353,139.9242,50.76,94,100,6.96,RU,1661110202
114,Hambantota,6.1241,81.1185,78.22,83,99,18.48,LK,1661128208
115,Quang Ngai,15.1167,108.8,76.5,88,74,4.72,VN,1661121086
116,Sainte-Luce,14.4673,-60.9271,82.35,83,26,6.91,MQ,1661075452
117,Machico,32.7,-16.7667,77.63,50,20,23.02,PT,1661063680
118,Khatanga,71.9667,102.5,46.04,67,100,7.85,RU,1661113030
119,Nanortalik,60.1432,-45.2371,38.89,93,21,8.81,GL,1661066955
120,Chokurdakh,70.6333,147.9167,62.29,70,99,3.11,RU,1661103035
121,Narsaq,60.9167,-46.05,43.9,67,8,2.01,GL,1661066959
122,Coyhaique,-45.5752,-72.0662,49.95,71,100,3.44,CL,1661081821
123,Kaitangata,-46.2817,169.8464,47.1,69,96,4.65,NZ,1661110201
124,Barra Patuca,15.8,-84.2833,83.14,76,67,8.21,HN,1661080983
125,Sitka,57.0531,-135.33,68.99,71,47,5.08,US,1661089280
126,Nome,64.5011,-165.4064,65.16,58,0,2.57,US,1661094620
127,Arlit,18.7369,7.3853,94.53,25,0,5.91,NE,1661058810
128,Sørland,67.667,12.6934,55.26,97,100,6.64,NO,1661137168
129,Valdivia,-39.8142,-73.2459,59.09,95,43,2.84,CL,1661081573
130,Esmeraldas,-19.7625,-44.3139,63.64,63,33,10.36,BR,1661073278
131,Katsuura,35.1333,140.3,77.02,92,68,13.13,JP,1661112218
132,Pangnirtung,66.1451,-65.7125,49.37,93,100,8.32,CA,1661070046
133,Fairbanks,64.8378,-147.7164,69.1,60,20,1.01,US,1661090251
134,Shenjiamen,29.9576,122.298,81.95,89,44,10.65,CN,1661116928
135,Thompson,55.7435,-97.8558,68.16,52,75,11.5,CA,1661080520
136,Deloraine,-41.5333,146.6667,51.35,15,100,11.59,AU,1661115307
137,East London,-33.0153,27.9116,57.04,57,0,5.28,ZA,1661143122
138,Carnarvon,-24.8667,113.6333,63.52,56,0,13.29,AU,1661122041
139,Mangai,-4.05,19.5333,73.26,83,75,1.97,CD,1661057120
140,Nadīgaon,26.1167,79.0333,79.61,84,100,12.55,IN,1661127575
141,Vilhena,-12.7406,-60.1458,80.82,47,20,9.22,BR,1661076691
142,Maniitsoq,65.4167,-52.9,42.35,72,22,4.83,GL,1661067239
143,Roald,62.5833,6.1333,56.75,82,75,12.66,NO,1661140527
144,Riyadh,24.6877,46.7219,95.14,14,73,6.64,SA,1661135424
145,Yazman,29.1212,71.7446,82.36,73,41,2.66,PK,1661129124
146,Lagoa,39.05,-27.9833,73.54,79,66,3.71,PT,1661065845
147,Saskylakh,71.9167,114.0833,39.2,79,100,5.95,RU,1661110278
148,Yatou,37.15,122.3833,75.11,85,70,11.88,CN,1661116354
149,Raton,36.9034,-104.4391,71.33,70,100,7.7,US,1661084394
150,Souillac,-20.5167,57.5167,66.58,88,40,2.3,MU,1661135249
151,Māngrol,21.1167,70.1167,79.84,84,100,16.73,IN,1661130027
152,Lavrentiya,65.5833,-171.0,47.44,57,0,4.59,RU,1661182187
153,Grindavik,63.8424,-22.4338,51.75,76,0,10.36,IS,1661060449
154,Pevek,69.7008,170.3133,49.98,63,6,22.1,RU,1661098208
155,Dikson,73.5069,80.5464,42.46,98,100,15.7,RU,1661116941
156,Walvis Bay,-22.9575,14.5053,72.55,14,79,17.27,NA,1661145705
157,Mogadishu,2.0371,45.3438,76.53,78,28,15.84,SO,1661137001
158,Broome,42.2506,-75.833,75.18,80,96,1.99,US,1661077032
159,Yelizavetino,59.4916,29.7938,59.56,60,29,7.74,RU,1661135611
160,Vestmannaeyjar,63.4427,-20.2734,50.88,83,96,17.43,IS,1661060055
161,Kulhudhuffushi,6.6221,73.07,81.34,77,93,16.64,MV,1661130113
162,Aswān,24.0934,32.907,92.5,16,0,5.75,EG,1661138778
163,Livingston,55.9029,-3.5226,53.89,81,0,1.14,GB,1661057820
164,Tommot,58.9564,126.2925,50.34,90,100,2.1,RU,1661112533
165,Norman Wells,65.282,-126.8329,68.04,56,75,6.91,CA,1661085072
166,Mahon,39.8885,4.2658,77.56,83,20,0.0,ES,1661144480
167,Iganga,0.6092,33.4686,64.9,88,100,2.17,UG,1661139923
168,Atar,20.5169,-13.0499,92.3,40,99,5.57,MR,1661063609
169,Mar del Plata,-38.0023,-57.5575,50.09,85,100,11.01,AR,1661077662
170,Saint-Philippe,-21.3585,55.7679,65.79,76,0,6.8,RE,1661135716
171,Lebu,-37.6167,-73.65,50.09,91,4,12.97,CL,1661081490
172,Tuatapere,-46.1333,167.6833,47.71,76,65,1.66,NZ,1661110704
173,Issoire,45.55,3.25,65.46,78,75,2.57,FR,1661144158
174,Moindou,-21.6924,165.677,70.86,87,100,12.71,NC,1661109372
175,Chardara,41.2547,67.9692,60.69,35,0,7.45,KZ,1661129054
176,Ahipara,-35.1667,173.1667,60.19,79,52,13.85,NZ,1661108443
177,Ancud,-41.8697,-73.8203,48.56,88,95,0.76,CL,1661081889
178,Mutoko,-17.397,32.2268,50.85,84,1,8.66,ZW,1661141144
179,Simbahan,6.3032,120.5836,83.34,69,100,7.02,PH,1661118727
180,Agadir,30.4202,-9.5982,72.05,45,13,2.59,MA,1661062128
181,Malbork,54.0359,19.0266,64.11,96,100,8.93,PL,1661139237
182,Waipawa,-41.4122,175.5153,55.69,72,100,4.23,NZ,1661108380
183,Pisco,-13.7,-76.2167,60.85,77,20,6.91,PE,1661080598
184,Severo-Kuril'sk,50.6789,156.125,59.77,92,97,5.17,RU,1661106799
185,Leningradskiy,69.3833,178.4167,46.83,68,11,13.67,RU,1661096434
186,Fare,-16.7,-151.0167,78.15,70,84,16.58,PF,1661098704
187,Belyy Yar,53.6039,91.3903,53.49,82,40,2.24,RU,1661121918
188,Norden,53.6,7.2,63.95,73,97,3.96,DE,1661142149
189,San Rafael,-34.6177,-68.3301,54.95,44,0,7.0,AR,1661079986
190,Yellowknife,62.456,-114.3525,61.32,77,75,11.5,CA,1661082969
191,Teahupoo,-17.8333,-149.2667,76.96,75,97,13.15,PF,1661098347
192,Payson,40.0444,-111.7321,87.58,37,5,4.0,US,1661085867
193,Ribeira Grande,38.5167,-28.7,73.9,80,98,5.7,PT,1661066065
194,Severnyy,50.677,36.5532,68.04,45,0,8.95,RU,1661135527
195,Grand Forks,47.9417,-97.4337,82.78,35,78,3.31,US,1661081586
196,Egvekinot,66.3167,-179.1667,50.61,58,0,5.39,RU,1661183883
197,Naryan-Mar,67.6713,53.087,56.39,65,9,9.64,RU,1661127445
198,Maceió,-9.6658,-35.7353,72.84,88,40,4.61,BR,1661070673
199,Swan Hill,-35.3378,143.5544,54.52,61,43,12.68,AU,1661115557
200,Margate,51.3813,1.3862,66.16,65,80,5.91,GB,1661057382
201,São José da Coroa Grande,-8.8978,-35.1478,73.02,85,47,10.36,BR,1661070492
202,Marfino,55.7028,37.3822,68.34,40,0,8.95,RU,1661134543
203,Talaya,61.3833,152.75,58.8,71,90,10.51,RU,1661105596
204,Kemijärvi,66.7131,27.4306,61.56,82,63,10.47,FI,1661134024
205,Constitución,-35.3333,-72.4167,53.91,85,0,7.76,CL,1661081019
206,Mantenópolis,-18.8625,-41.1228,64.74,57,87,6.11,BR,1661072462
207,Bubaque,11.2833,-15.8333,79.83,80,100,11.07,GW,1661064804
208,Vakhrushev,48.9833,142.9667,67.08,64,0,10.42,RU,1661110186
209,Kuril'sk,45.2333,147.8833,65.16,79,3,3.13,RU,1661109452
210,Lakes Entrance,-37.8811,147.981,52.16,56,97,10.09,AU,1661114689
211,Qaanaaq,77.484,-69.3632,35.1,66,61,5.21,GL,0
212,Hilo,19.7297,-155.09,85.28,71,4,4.0,US,1661097752
213,San Patricio,28.017,-97.5169,87.85,63,100,14.27,US,1661083406
214,Jaumave,23.4167,-99.3833,87.31,48,65,5.44,MX,1661084155
215,Newport,51.5877,-2.9984,65.44,78,52,4.07,GB,1661058405
216,Sinnamary,5.3833,-52.95,79.29,83,97,6.53,GF,1661074026
217,Itoman,26.1247,127.6694,87.82,74,75,10.36,JP,1661115898
218,Geraldton,-28.7667,114.6,45.01,100,0,10.36,AU,1661122050
219,Santa Fe,-31.6333,-60.7,59.02,47,94,1.99,AR,1661077944
220,Evensk,61.95,159.2333,52.29,96,100,5.26,RU,1661103888
221,Faanui,-16.4833,-151.75,78.4,71,89,17.78,PF,1661098868
222,Khasan,42.4308,130.6434,68.32,93,100,0.89,RU,1661113887
223,Coquimbo,-29.9533,-71.3436,55.13,82,100,6.91,CL,1661080384
224,Gewanē,10.1664,40.6453,77.27,65,69,8.41,ET,1661137711
225,Ipil,7.75,122.5167,79.48,85,100,3.0,PH,1661118188
226,Havelock,34.8791,-76.9013,78.75,84,79,9.31,US,1661077948
227,Cherskiy,68.75,161.3,62.04,59,100,18.57,RU,1661100889
228,Fort Dodge,42.4975,-94.168,77.13,29,0,11.05,US,1661081411
229,Hithadhoo,-0.6,73.0833,81.73,77,76,11.27,MV,1661130477
230,Chapais,49.7834,-74.8492,65.98,77,74,4.41,CA,1661075922
231,Champerico,14.3,-91.9167,88.34,85,81,12.68,GT,1661082900
232,Belmonte,-15.8631,-38.8828,69.75,83,94,9.33,BR,1661071758
233,Muisne,0.6,-80.0333,73.92,79,94,6.8,EC,1661080773
234,Caravelas,-17.7125,-39.2481,70.9,75,95,15.17,BR,1661071948
235,Erzin,36.9559,36.2,78.06,90,59,3.96,TR,1661137067
236,Maţāy,28.419,30.7792,84.87,31,0,9.22,EG,1661139007
237,Balkanabat,39.5108,54.3671,76.53,16,0,13.47,TM,1661132482
238,Pacific Grove,36.6177,-121.9166,71.38,79,37,11.01,US,1661088615
239,Ürümqi,43.801,87.6005,63.55,39,0,6.71,CN,1661124085
240,Shahr-e Bābak,30.1165,55.1186,67.98,17,2,8.48,IR,1661133046
241,Plouzané,48.3833,-4.6167,64.72,100,100,6.91,FR,1661145717
242,Mount Isa,-20.7333,139.5,64.17,34,0,0.0,AU,1661115596
243,Norrköping,58.5942,16.1826,63.59,72,100,8.05,SE,1661139078
244,Hirara,24.8,125.2833,82.26,89,40,4.61,JP,1661116557
245,Krasnyy Kholm,58.0607,37.1203,65.77,38,97,8.46,RU,1661134156
246,Saint-Pierre,-21.3393,55.4781,65.88,60,0,6.91,RE,1661135785
247,Vila Franca do Campo,37.7167,-25.4333,72.01,81,77,3.71,PT,1661065351
248,Pereyaslovskaya,45.8412,39.0238,73.78,40,2,17.72,RU,1661135533
249,Ola,59.5833,151.2833,59.14,86,75,17.11,RU,1661106386
250,Cabedelo,-6.9811,-34.8339,75.87,85,82,11.97,BR,1661070317
251,Lorengau,-2.0226,147.2712,81.95,78,94,9.13,PG,1661112748
252,Beruwala,6.4788,79.9828,78.49,86,100,14.29,LK,1661128462
253,Ashtabula,41.7001,-80.7665,75.85,85,20,5.75,US,1661078271
254,Keti Bandar,24.1447,67.4497,80.89,83,100,15.41,PK,1661130482
255,Masvingo,-20.0637,30.8277,52.21,86,0,7.76,ZW,1661141626
256,Togur,58.3631,82.8265,42.62,89,73,5.95,RU,1661123108
257,Fort Saint James,54.4333,-124.25,85.89,28,5,2.15,CA,1661087092
258,Lima,-12.0432,-77.0282,64.9,72,100,12.66,PE,1661080705
259,Bulata,9.8599,122.4016,80.85,81,100,8.93,PH,1661118105
260,Cedar Falls,42.5278,-92.4455,78.62,72,6,5.01,US,1661080994
261,Ostrovnoy,68.0531,39.5131,59.94,71,10,15.37,RU,1661130539
262,Belaya Gora,68.5333,146.4167,67.23,52,98,8.28,RU,1661104580
263,Grand Gaube,-20.0064,57.6608,67.37,77,18,3.0,MU,1661135186
264,Nouadhibou,20.931,-17.0347,75.18,88,60,14.97,MR,1661064540
265,Beringovskiy,63.05,179.3167,52.72,67,7,7.99,RU,1661098748
266,Voinka,45.8699,33.9914,74.62,82,45,6.58,UA,1661136738
267,Santa Marta,11.2408,-74.199,80.35,83,97,7.81,CO,1661078815
268,Kānker,20.2719,81.4931,73.17,87,100,8.1,IN,1661127346
269,Stevens Point,44.5236,-89.5746,79.47,45,0,7.0,US,1661080095
270,Rivadavia,-33.1905,-68.4608,57.61,35,0,10.02,AR,1661079914
271,Port Lincoln,-34.7333,135.8667,56.44,80,21,17.07,AU,1661117356
272,Cabo San Lucas,22.8909,-109.9124,89.19,69,16,11.32,MX,1661086716
273,Xiaoweizhai,26.1903,107.5125,71.44,93,97,3.69,CN,1661120733
274,Assiut,27.181,31.1837,86.18,21,0,4.76,EG,1661138993
275,Santa Maria,-29.6842,-53.8069,54.7,82,0,3.44,BR,1661076160
276,Nikel,69.4128,30.222,62.78,70,66,8.99,RU,1661132095
277,Tual,-5.6667,132.75,79.29,79,30,22.19,ID,1661116417
278,Erenhot,43.6475,111.9767,56.01,63,19,13.24,CN,1661118246
279,Hokitika,-42.7167,170.9667,52.84,78,39,1.81,NZ,1661109587
280,Lompoc,34.6391,-120.4579,75.78,74,100,7.0,US,1661088426
281,Mazamari,-11.3258,-74.5308,73.9,61,21,0.04,PE,1661080068
282,Douglas,41.3,-96.167,87.51,49,40,3.44,US,1661082009
283,Ventspils,57.3894,21.5606,66.13,94,75,5.75,LV,1661138031
284,Soto la Marina,23.7667,-98.2167,90.77,45,61,17.98,MX,1661083853
